Sensor Name,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Third Party,Sensor Centroid Longitude,Sensor Centroid Latitude
PER_PEOPLE-FTP_VAISALACCTV12,POINT (-1.843462 54.7589132),321.980010986328,2.0,People ftp,False,-1.843462,54.7589132
PER_PEOPLE-FTP_NT_A191A1,POINT (-1.578146 55.0091876),69.5400009155273,2.0,people-ftp,False,-1.578146,55.0091876
PER_PEOPLE-FTP_NT_A193F1,POINT (-1.495356 54.9977502),35.5400009155273,2.0,people-ftp,False,-1.495356,54.9977502
PER_PEOPLE-FTP_NC_KPRA1,POINT (-1.660676 55.0211249),55.4799995422363,2.0,people-ftp,False,-1.660676,55.0211249
PER_PEOPLE-FTP_NC_B1318D1,POINT (-1.61242 54.9796105),47.7099990844727,2.0,people-ftp,False,-1.61242,54.9796105
PER_PEOPLE-FTP_PS193,POINT (-1.61225 54.9701617),32.0,2.0,people-ftp,False,-1.61225,54.9701617
PER_PEOPLE-FTP_SL_A1018E1,POINT (-1.383086 54.9115621),26.0799999237061,2.0,people-ftp,False,-1.383086,54.9115621
PER_PEOPLE-FTP_SL_B1522A1,POINT (-1.376886 54.8938843),32.0999984741211,2.0,People ftp,False,-1.376886,54.8938843
PER_PEOPLE-FTP_PS194,POINT (-1.61411 54.9696217),31.7700004577637,2.0,people-ftp,False,-1.61411,54.9696217
PER_PEOPLE-FTP_NT_A188A2,POINT (-1.584876 55.0196062),50.7000007629395,2.0,people-ftp,False,-1.584876,55.0196062
PER_PEOPLE-FTP_GH_A1114A1,POINT (-1.660114 54.9587523),2.50999999046326,2.0,people-ftp,False,-1.660114,54.9587523
PER_PEOPLE-FTP_GH_A184C1,POINT (-1.60611 54.9604329),66.4100036621094,2.0,people-ftp,False,-1.60611,54.9604329
PER_PEOPLE-FTP_NC_B6918A1,POINT (-1.701012 55.0287634),75.7099990844727,2.0,people-ftp,False,-1.701012,55.0287634
PER_PEOPLE-FTP_GH_A184A2,POINT (-1.629777 54.9515136),5.11999988555908,2.0,people-ftp,False,-1.629777,54.9515136
PER_PEOPLE-FTP_NT_A191D1,POINT (-1.54897 55.0147173),61.7999992370605,2.0,people-ftp,False,-1.54897,55.0147173
PER_PEOPLE-FTP_ST_A194B1,POINT (-1.467178 54.9676542),16.3999996185303,2.0,People ftp,False,-1.467178,54.9676542
PER_PEOPLE-FTP_NT_A191B1,POINT (-1.573427 55.0102875),69.4899978637695,2.0,people-ftp,False,-1.573427,55.0102875
PER_PEOPLE-FTP_NC_CHLA1,POINT (-1.572137 55.0037583),59.0,2.0,people-ftp,False,-1.572137,55.0037583
PER_PEOPLE-FTP_SL_HLRA1,POINT (-1.412562 54.9038925),49.8499984741211,2.0,People ftp,False,-1.412562,54.9038925
PER_PEOPLE-FTP_METCCTV00013,POINT (-1.558664 54.9004407),101.139999389648,2.0,people-ftp,False,-1.558664,54.9004407
PER_PEOPLE-FTP_GH_A695A1,POINT (-1.77185 54.9662097),95.4499969482422,2.0,people-ftp,False,-1.77185,54.9662097
PER_PEOPLE-FTP_METCCTV00007,POINT (-1.394176 54.9466678),21.4500007629395,2.0,people-ftp,False,-1.394176,54.9466678
PER_PEOPLE-FTP_SL_A690C1,POINT (-1.4226 54.8847547),57.9000015258789,2.0,people-ftp,False,-1.4226,54.8847547
